aeñ breeroo,,a badger,,noun,awa,animal,,,,,
aeñ noor,,a bear,,noun,awa,animal,,,,,
aeñ kaastor,,a beaver,,noun,awa,animal,,,,,
aeñ naamoo,,a bee,,noun,awa,animal,,,,,
aeñ nweezoo,,a bird,,noun,awa,animal,,,,,
aeñ buffloo,,a buffalo,,noun,awa,animal,,,,,
aeñ maemaeñgwaeñ(?),,a butterfly,,noun,awa,animal,,,,,
aeñ kariboo(?),,a caribou,,noun,awa,animal,,,,,
en shat,,a cat (female),,noun,awa,animal,,,,,
aeñ shaa,,a cat (male),,noun,awa,animal,,,,,
en pol,,a chicken,,noun,awa,animal,,,,,
en swis baarii,,a chipmunk,,noun,awa,animal,,,,,
en vash,,a cow,,noun,awa,animal,,,,,
en krichee(?),,a cricket,,noun,awa,animal,,,,,
aeñ shoovreu(?),,a deer,,noun,awa,animal,,,,,
aeñ shyaeñ,,a dog,,noun,awa,animal,,,,,
aeñ kanaar,,a duck,,noun,awa,animal,,,,,
aeñ pwesooñ,,a fish,,noun,awa,animal,,,,,
en moosh,,a fly,,noun,awa,animal,,,,,
aeñ rinaar,,a fox,,noun,awa,animal,,,,,
aeñ shev,,a goat,,noun,awa,animal,,,,,
aeñ zwee,,a goose,,noun,awa,animal,,,,,
en sootrel,,a grasshopper,,noun,awa,animal,,,,,
aeñ moov,,a gull,,noun,awa,animal,,,,,
aeñ zhwaal,,a horse,,noun,awa,animal,,,,,
aeñ minoosh,,a kitty,,noun,awa,animal,,,,,
aeñ lizaar,,a lizard,,noun,awa,animal,,,,,
aeñ naariyael(?),,a moose,,noun,awa,animal,,,,,
aeñ maraeñgwaeñ(?),,a mosquito,,noun,awa,animal,,,,,
aeñ soorii,,a mouse,,noun,awa,animal,,,,,
en paadrii,,a partridge,,noun,awa,animal,,,,,
aeñ nanimaal di meezooñ,,a pet,,noun,awa,animal,,,,,
aeñ piizhooñ,,a pidgeon,,noun,awa,animal,,,,,
aeñ kwashooñ,,a pig,,noun,awa,animal,,,,,
aeñ lyeev,,a rabbit,,noun,awa,animal,,,,,
aeñ shaa savaezh(?),,a raccoon,,noun,awa,animal,,,,,
en griiv,,a robin,,noun,awa,animal,,,,,
aeñ mwatooñ,,a sheep,,noun,awa,animal,,,,,
